EntrezID,iPrEC_basal_average,iPrEC_4day_average,iPrEc_8day_average,iPrEC_11day_average,iPrEC_14day_average,iPrEC_17day_average,EMP_basal_average,EMP_4day_average,EMP_8day_average,EMP_11day_average,EMP_14day_average,EMP_17day_average
619499,0.373141805,0.416160539,0.510975489,0.477755511,1.288183071,1.021727474,0.778715835,0.612215334,0.47716755,0.542717363,0.621616802,0.673892873
387496,0.218498012,0.239775777,0.129612428,0.114359066,0.513413921,0.234124304,0.542280374,0.416657903,0.295354532,0.35522417,0.293437119,0.439464398
2971,56.6317067,59.84908826,51.94878218,43.07099185,35.94432854,37.29857511,94.34481267,111.6282303,100.9421664,92.423352,72.22376583,85.23759099
219402,33.68208081,30.32353867,29.135841,34.06963657,32.73504993,32.60489924,54.72613584,39.37272827,42.34943534,46.59952439,45.6952903,51.81074946
222484,53.27855846,59.37764362,63.35276092,70.05459324,65.29433805,83.14909329,46.44682952,44.60984177,50.19102649,56.63310626,62.55494723,70.0394649
51082,138.6476401,147.3801703,119.9283318,142.1981721,134.5682306,126.0077898,209.2296956,212.0357563,172.828192,248.7764395,242.4286645,287.8792791
100506997,0,0,0,0,0,0,0.021035094,0,0,0,0,0
219409,0,0,0,0,0,0,0,0,0,0,0.018558702,0
3651,0,0,0,0,0,0,0.024295659,0.019875812,0,0,0,0
432369,62.5933522,63.88931651,58.5507726,55.19524648,35.32001543,36.79549863,59.40921023,59.29448428,61.96582155,49.52207666,46.5837385,38.48041387
100132234,0,0,0,0,0,0,0,0,0,0,0,0.022414094
1045,0.021078636,0,0,0,0,0,0,0,0,0,0,0
646625,0,0,0.022535842,0,0,0,0,0,0,0,0.027576467,0
2322,0,0,0.015481349,0,0,0.022943623,0,0.020257401,0.019202323,0,0.018558702,0
100288730,1.145954978,0.983229909,0.61934493,0.592227647,0.632231573,0.309174271,2.627453406,1.423364357,1.439131783,1.783951161,1.206398351,1.446532182
255967,34.47978262,34.26343278,36.39297658,33.1930587,45.97132193,52.2572274,54.37472897,45.72658949,44.81509471,50.91174691,46.03478119,57.16969513
2321,0,0,0.020210847,0,0.057224633,0.049522969,0,0,0.019429486,0,0.018558702,0.112070472
51371,113.7261972,126.6192814,134.2792307,127.4394234,114.0009505,131.3689524,174.6651001,180.4781568,160.1916179,132.3843657,129.3743756,123.7316719
283537,0.195979355,0.588583082,1.141321515,0.708783917,1.255696092,3.136766921,2.49750558,2.620843299,2.28985692,1.985174477,2.160864026,1.802074455
23281,0.172020678,0.153933685,0.073709386,0.133636245,0.131458791,0.160203288,0.042070188,0.060772204,0.105003727,0.198221384,0.195732063,0.209930485
6541,264.7196929,232.916034,254.5123611,219.5034183,187.5015545,152.2831779,158.5846888,192.2317008,173.4332541,179.0908267,194.1225487,180.4176021
5412,44.1801752,42.59364521,46.12602342,50.1390112,41.0472347,47.68232881,59.80750056,60.2803437,53.25186374,71.95562721,74.22991082,80.47267535
440131,0,0,0,0,0,0,0,0,0,0,0,0
84056,40.39255592,40.20209039,37.5124956,30.1644213,18.33077733,34.82643399,43.63889897,45.94908738,68.13495938,54.26665196,58.63007153,53.80528745
100507040,0,0,0,0,0,0,0,0,0,0,0,0
100188949,0.137576064,0.023189437,0.127207925,0.074929408,0.111658372,0.053885904,0.043165393,0,0,0.02217798,0.043679397,0.053918247
3146,71.65029966,109.3615878,71.31690612,61.82988296,54.27984387,59.53181733,110.157331,125.6785327,125.0019869,88.44713573,94.74525061,66.798203
10208,18.75720452,19.0626108,17.89181676,17.39568227,29.15322869,29.21724567,29.2022057,26.75103737,24.43076614,22.5763934,25.6404311,26.35924528
241,0.368821743,0.579452352,0.116456074,0.192640815,0.340951276,0.179511188,1.774887958,2.07336389,0.959073712,1.660754444,3.570762866,1.810126691
100507084,0,0.023189437,0.015481349,0.019426045,0.036825084,0.026579346,0,0,0.038631809,0.044010851,0.151529494,0.022414094
